Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"305180","1","2016-02-08 20:16:55","5","449","<phrase-requests>","2","1"
"305185","1","2016-02-08 21:37:36","2","210","<single-word-requests><synonyms>","7",""
"305189","1","2016-02-08 21:48:59","1","79","<single-word-requests>","2",""
"305205","1","2016-02-09 00:00:29","0","860","<meaning><comparisons>","2",""
"305217","1","2016-02-09 01:19:06","1","3886","<single-word-requests>","1",""
"305219","1","2016-02-09 01:20:02","1","141","<meaning>","1",""
"305224","1","2016-02-09 01:43:58","1","5606","<meaning><phrases><nouns>","2",""
"305233","1","2016-02-09 03:33:55","11","12438","<meaning><british-english>","2","2"
"305240","1","2016-02-09 04:25:03","0","40","<roots>","0",""
"305242","1","2016-02-09 04:54:27","1","239","<present-perfect><adjuncts>","2","1"
"305243","1","2016-02-09 05:06:12","1","469","<meaning><phrase-meaning>","1",""
"305246","1","2016-02-09 05:35:07","1","33810","<grammar>","3","2"
"305247","1","2016-02-09 05:44:11","0","553","<relative-clauses><non-restrictive>","2",""
"305249","1","2016-02-09 06:05:24","0","288","<uncountable-nouns>","1",""
"305253","1","2016-02-09 06:26:52","0","2977","<grammar>","1",""
"305254","1","2016-02-09 06:28:02","-1","2996","<grammar>","1",""
"305262","1","2016-02-09 07:36:58","1","8743","<word-choice><differences>","2",""
"305268","1","2016-02-09 09:52:22","0","129","<definite-articles>","1",""
"305273","1","2016-02-09 10:12:27","53","56382","<adjectives><orthography><suffixes><variants>","3","5"
"305276","1","2016-02-09 10:44:57","-1","517","<grammar>","1",""
"305277","1","2016-02-09 10:53:05","8","2188","<phrase-requests><antonyms><idiom-requests>","6",""
"305278","1","2016-02-09 11:10:09","1","91","<grammar><verb-agreement>","1",""
"305282","1","2016-02-09 11:31:23","1","597","<comparatives>","1",""
"305286","1","2016-02-09 11:53:52","0","1586","<single-word-requests><phrase-requests><slang><idiom-requests>","3",""
"305290","1","2016-02-09 12:15:58","27","6054","<idiom-requests><proverb-requests>","16","2"
"305299","1","2016-02-09 13:28:37","1","20284","<differences><modal-verbs><present-tense>","2",""
"305302","1","2016-02-09 13:42:11","1","3292","<meaning><phrases>","1",""
"305305","1","2016-02-09 13:55:45","4","9572","<grammar><terminology>","6","3"
"305312","1","2016-02-09 14:40:00","3","26149","<etymology><expressions>","2","2"
"305318","1","2016-02-09 15:31:06","6","803","<expressions><translation><idiom-requests><proverb-requests>","7",""
"305324","1","2016-02-09 16:00:31","0","12836","<dates>","1",""
"305327","1","2016-02-09 16:07:18","4","16313","<single-word-requests>","4",""
"305328","1","2016-02-09 16:12:15","-1","3263","<word-usage><grammatical-number><tenses><verb-agreement>","3",""
"305331","1","2016-02-09 16:21:21","-1","1024","<single-word-requests><synonyms>","4",""
"305332","1","2016-02-09 16:22:35","1","1239","<meaning-in-context><analogy>","2",""
"305338","1","2016-02-09 16:46:51","1","1557","<grammar><grammaticality><phrases>","2",""
"305347","1","2016-02-09 17:54:01","1","1507","<adverbs><time><consequence>","2","1"
"305353","1","2016-02-09 18:14:27","0","389","<slang>","1",""
"305362","1","2016-02-09 19:25:22","3","494","<single-word-requests>","2",""
"305365","1","2016-02-09 19:50:10","2","352","<etymology><usage><early-modern-english><descriptive-grammar>","1",""
"305383","1","2016-02-09 21:41:22","6","5194","<etymology>","3",""
"305391","1","2016-02-09 22:13:45","0","6382","<phrases><slang>","1",""
"305400","1","2016-02-09 23:16:29","0","91","<meaning><phrase-meaning>","2",""
"305402","1","2016-02-09 23:19:55","1","1601","<grammar><sentence><zero-copula><conversational-deletion>","3",""
"305411","1","2016-02-10 00:09:26","3","1574","<meaning>","4",""
"305414","1","2016-02-10 01:05:24","14","18605","<single-word-requests>","11","1"
"305417","1","2016-02-10 01:16:22","1","74","<word-choice>","3",""
"305424","1","2016-02-10 01:58:12","2","435","<british-english>","2",""
"305426","1","2016-02-10 02:00:26","1","1914","<grammaticality><construction><redundancy>","1",""
"305430","1","2016-02-10 02:44:28","0","36","<single-word-requests>","1",""
"305440","1","2016-02-10 03:53:49","0","246","<meaning><phrase-meaning><quotes>","4",""
"305441","1","2016-02-10 03:57:04","0","107","<word-choice>","1",""
"305445","1","2016-02-10 04:12:40","0","253","<meaning><etymology><loanwords><collective-nouns>","3",""
"305449","1","2016-02-10 04:19:51","1","356","<single-word-requests><terminology>","3",""
"305456","1","2016-02-10 05:02:35","-1","80","<phrase-requests><vocabulary>","1",""
"305458","1","2016-02-10 05:06:11","10","6066","<etymology><meaning-in-context><phrase-meaning><origin-unknown>","3",""
"305470","1","2016-02-10 07:23:03","3","2156","<etymology>","1",""
"305472","1","2016-02-10 07:50:32","0","149","<grammatical-number>","1",""
"305474","1","2016-02-10 07:54:36","3","606","<single-word-requests><antonyms>","4",""
"305482","1","2016-02-10 08:59:04","4","1238","<single-word-requests><phrase-requests>","2","0"
"305483","1","2016-02-10 08:59:14","-2","352","<offensive-language>","4","1"
"305487","1","2016-02-10 09:15:45","0","488","<indefinite-articles>","1",""
"305488","1","2016-02-10 09:23:13","6","2895","<meaning><etymology><ambiguity>","6","2"
"305489","1","2016-02-10 09:27:15","4","597","<idiom-requests>","3",""
"305500","1","2016-02-10 10:52:48","2","8057","<ordinal-numbers>","3","1"
"305514","1","2016-02-10 12:17:35","1","407","<verb-agreement><subjects><there-is><disjunction><compound-subjects>","1","1"
"305518","1","2016-02-10 12:47:01","2","50","<measuring-units>","1",""
"305519","1","2016-02-10 12:48:07","1","8284","<syntactic-analysis>","6",""
"305522","1","2016-02-10 13:00:43","2","585","<meaning><slang><translation><linguistics><social-media>","3",""
"305528","1","2016-02-10 13:11:05","3","971","<single-word-requests><phrase-requests>","3",""
"305531","1","2016-02-10 13:28:08","2","4922","<word-choice>","4","1"
"305539","1","2016-02-10 14:04:22","0","14365","<single-word-requests>","7",""
"305540","1","2016-02-10 14:10:41","0","1613","<uncountable-nouns>","1",""
"305550","1","2016-02-10 14:56:10","2","5836","<grammar><dialects><phrase-usage><descriptive-grammar>","2",""
